"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"org.wrongwrong.valueClass.deser.KeyBenchmark._int","ss",1,10,280.577312,18.116690,"ms/op"
"org.wrongwrong.valueClass.deser.KeyBenchmark._short","ss",1,10,286.769142,16.586917,"ms/op"
"org.wrongwrong.valueClass.deser.value.byJsonCreator.IntBenchmark.direct","ss",1,10,270.065927,17.137216,"ms/op"
"org.wrongwrong.valueClass.deser.value.byJsonCreator.IntBenchmark.wrapped","ss",1,10,307.809560,17.707293,"ms/op"
"org.wrongwrong.valueClass.deser.value.byJsonCreator.ShortBenchmark.direct","ss",1,10,275.870427,17.386952,"ms/op"
"org.wrongwrong.valueClass.deser.value.byJsonCreator.ShortBenchmark.wrapped","ss",1,10,306.834562,21.486653,"ms/op"
"org.wrongwrong.valueClass.deser.value.byPrimaryConstructor.IntBenchmark.direct","ss",1,10,278.743274,21.189127,"ms/op"
"org.wrongwrong.valueClass.deser.value.byPrimaryConstructor.IntBenchmark.wrapped","ss",1,10,309.165245,27.950658,"ms/op"
"org.wrongwrong.valueClass.deser.value.byPrimaryConstructor.ShortBenchmark.direct","ss",1,10,269.656569,21.933546,"ms/op"
"org.wrongwrong.valueClass.deser.value.byPrimaryConstructor.ShortBenchmark.wrapped","ss",1,10,316.185681,21.947749,"ms/op"
"org.wrongwrong.valueClass.ser.key.jsonKey.IntBenchmark.benchmark","ss",1,10,195.296498,16.334443,"ms/op"
"org.wrongwrong.valueClass.ser.key.jsonKey.ShortBenchmark.benchmark","ss",1,10,194.738718,13.318097,"ms/op"
"org.wrongwrong.valueClass.ser.key.unbox.IntBenchmark.benchmark","ss",1,10,192.413958,13.151711,"ms/op"
"org.wrongwrong.valueClass.ser.key.unbox.ShortBenchmark.benchmark","ss",1,10,186.525809,16.711958,"ms/op"
"org.wrongwrong.valueClass.ser.value.jsonValue.IntBenchmark.direct","ss",1,10,176.969350,11.134667,"ms/op"
"org.wrongwrong.valueClass.ser.value.jsonValue.IntBenchmark.wrapped","ss",1,10,295.294399,19.204523,"ms/op"
"org.wrongwrong.valueClass.ser.value.jsonValue.ShortBenchmark.direct","ss",1,10,175.543538,13.858225,"ms/op"
"org.wrongwrong.valueClass.ser.value.jsonValue.ShortBenchmark.wrapped","ss",1,10,295.457164,12.060579,"ms/op"
"org.wrongwrong.valueClass.ser.value.unbox.IntBenchmark.direct","ss",1,10,177.968913,12.210645,"ms/op"
"org.wrongwrong.valueClass.ser.value.unbox.IntBenchmark.wrapped","ss",1,10,297.085654,12.131301,"ms/op"
"org.wrongwrong.valueClass.ser.value.unbox.ShortBenchmark.direct","ss",1,10,177.437413,11.784250,"ms/op"
"org.wrongwrong.valueClass.ser.value.unbox.ShortBenchmark.wrapped","ss",1,10,288.922695,16.718074,"ms/op"
