"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"org.wrongwrong.valueClass.deser.KeyBenchmark._int","thrpt",1,9,628928.592524,9986.113124,"ops/s"
"org.wrongwrong.valueClass.deser.KeyBenchmark._short","thrpt",1,9,536357.711456,16313.965391,"ops/s"
"org.wrongwrong.valueClass.deser.value.byJsonCreator.IntBenchmark.direct","thrpt",1,9,1784708.471187,228258.324737,"ops/s"
"org.wrongwrong.valueClass.deser.value.byJsonCreator.IntBenchmark.wrapped","thrpt",1,9,916055.903594,24984.551446,"ops/s"
"org.wrongwrong.valueClass.deser.value.byJsonCreator.ShortBenchmark.direct","thrpt",1,9,1880281.625663,145674.912937,"ops/s"
"org.wrongwrong.valueClass.deser.value.byJsonCreator.ShortBenchmark.wrapped","thrpt",1,9,921136.345195,19795.021981,"ops/s"
"org.wrongwrong.valueClass.deser.value.byPrimaryConstructor.IntBenchmark.direct","thrpt",1,9,2147950.142659,94159.318288,"ops/s"
"org.wrongwrong.valueClass.deser.value.byPrimaryConstructor.IntBenchmark.wrapped","thrpt",1,9,995537.946778,35684.663251,"ops/s"
"org.wrongwrong.valueClass.deser.value.byPrimaryConstructor.ShortBenchmark.direct","thrpt",1,9,1691792.929911,230929.406522,"ops/s"
"org.wrongwrong.valueClass.deser.value.byPrimaryConstructor.ShortBenchmark.wrapped","thrpt",1,9,904488.697510,26060.991564,"ops/s"
"org.wrongwrong.valueClass.ser.key.jsonKey.IntBenchmark.benchmark","thrpt",1,9,1777332.255594,121665.505150,"ops/s"
"org.wrongwrong.valueClass.ser.key.jsonKey.ShortBenchmark.benchmark","thrpt",1,9,1831096.322124,86817.576976,"ops/s"
"org.wrongwrong.valueClass.ser.key.unbox.IntBenchmark.benchmark","thrpt",1,9,1548940.949888,59182.947469,"ops/s"
"org.wrongwrong.valueClass.ser.key.unbox.ShortBenchmark.benchmark","thrpt",1,9,739703.867427,28875.292637,"ops/s"
"org.wrongwrong.valueClass.ser.value.jsonValue.IntBenchmark.direct","thrpt",1,9,2892679.151030,180257.478402,"ops/s"
"org.wrongwrong.valueClass.ser.value.jsonValue.IntBenchmark.wrapped","thrpt",1,9,1663825.635318,77584.664369,"ops/s"
"org.wrongwrong.valueClass.ser.value.jsonValue.ShortBenchmark.direct","thrpt",1,9,2811182.009216,51159.971984,"ops/s"
"org.wrongwrong.valueClass.ser.value.jsonValue.ShortBenchmark.wrapped","thrpt",1,9,1670737.423967,88225.796844,"ops/s"
"org.wrongwrong.valueClass.ser.value.unbox.IntBenchmark.direct","thrpt",1,9,3179525.595621,67475.641695,"ops/s"
"org.wrongwrong.valueClass.ser.value.unbox.IntBenchmark.wrapped","thrpt",1,9,1874000.549577,72616.574693,"ops/s"
"org.wrongwrong.valueClass.ser.value.unbox.ShortBenchmark.direct","thrpt",1,9,3137818.450200,27452.476533,"ops/s"
"org.wrongwrong.valueClass.ser.value.unbox.ShortBenchmark.wrapped","thrpt",1,9,1631790.050848,75674.425523,"ops/s"
