"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"org.wrongwrong.valueClass.deser.KeyBenchmark._int","thrpt",1,9,680694.531489,27678.180187,"ops/s"
"org.wrongwrong.valueClass.deser.KeyBenchmark._short","thrpt",1,9,574232.929115,37426.492221,"ops/s"
"org.wrongwrong.valueClass.deser.value.byJsonCreator.IntBenchmark.direct","thrpt",1,9,1573540.213031,70343.830482,"ops/s"
"org.wrongwrong.valueClass.deser.value.byJsonCreator.IntBenchmark.wrapped","thrpt",1,9,681764.839236,11390.388016,"ops/s"
"org.wrongwrong.valueClass.deser.value.byJsonCreator.ShortBenchmark.direct","thrpt",1,9,1582137.367836,29498.097736,"ops/s"
"org.wrongwrong.valueClass.deser.value.byJsonCreator.ShortBenchmark.wrapped","thrpt",1,9,700544.137815,12722.375592,"ops/s"
"org.wrongwrong.valueClass.deser.value.byPrimaryConstructor.IntBenchmark.direct","thrpt",1,9,1823197.083530,21384.382014,"ops/s"
"org.wrongwrong.valueClass.deser.value.byPrimaryConstructor.IntBenchmark.wrapped","thrpt",1,9,721451.216566,30771.085849,"ops/s"
"org.wrongwrong.valueClass.deser.value.byPrimaryConstructor.ShortBenchmark.direct","thrpt",1,9,1607385.550890,100813.337784,"ops/s"
"org.wrongwrong.valueClass.deser.value.byPrimaryConstructor.ShortBenchmark.wrapped","thrpt",1,9,685665.869853,15243.375368,"ops/s"
"org.wrongwrong.valueClass.ser.key.jsonKey.IntBenchmark.benchmark","thrpt",1,9,1721112.539959,115510.031844,"ops/s"
"org.wrongwrong.valueClass.ser.key.jsonKey.ShortBenchmark.benchmark","thrpt",1,9,1753370.740705,9431.338912,"ops/s"
"org.wrongwrong.valueClass.ser.key.unbox.IntBenchmark.benchmark","thrpt",1,9,1516485.136584,146705.153013,"ops/s"
"org.wrongwrong.valueClass.ser.key.unbox.ShortBenchmark.benchmark","thrpt",1,9,844800.639366,26174.770363,"ops/s"
"org.wrongwrong.valueClass.ser.value.jsonValue.IntBenchmark.direct","thrpt",1,9,2571880.673728,17515.704217,"ops/s"
"org.wrongwrong.valueClass.ser.value.jsonValue.IntBenchmark.wrapped","thrpt",1,9,1575917.996655,12378.611471,"ops/s"
"org.wrongwrong.valueClass.ser.value.jsonValue.ShortBenchmark.direct","thrpt",1,9,2570723.387372,14824.212465,"ops/s"
"org.wrongwrong.valueClass.ser.value.jsonValue.ShortBenchmark.wrapped","thrpt",1,9,1608109.260028,71747.434509,"ops/s"
"org.wrongwrong.valueClass.ser.value.unbox.IntBenchmark.direct","thrpt",1,9,2947865.011420,193180.174231,"ops/s"
"org.wrongwrong.valueClass.ser.value.unbox.IntBenchmark.wrapped","thrpt",1,9,1885195.465026,24842.942012,"ops/s"
"org.wrongwrong.valueClass.ser.value.unbox.ShortBenchmark.direct","thrpt",1,9,2847329.922591,76926.845537,"ops/s"
"org.wrongwrong.valueClass.ser.value.unbox.ShortBenchmark.wrapped","thrpt",1,9,1669918.473655,14006.156465,"ops/s"
